circuit,image_rows,image_cols,barcode_rows,barcode_cols,max_rows,max_cols,max_ec_level,chunk_size,prover_time_1,prover_time_2,prover_time_3,prover_time_4,prover_time_5,prover_ram_1,prover_ram_2,prover_ram_3,prover_ram_4,prover_ram_5,verifier_time_1,verifier_time_2,verifier_time_3,verifier_time_4,verifier_time_5,verifier_ram_1,verifier_ram_2,verifier_ram_3,verifier_ram_4,verifier_ram_5
binarize,144,192,140,171,10,6,0,9,592.6,607.21,598.17,610.53,613.07,407612,410432,408952,415052,411956,76.58,75.09,74.85,77.61,75.94,65712,65736,66380,66372,65824
binarize,144,192,140,171,10,6,1,9,587.66,599.71,585.33,583.56,592.71,412480,413492,414580,412688,414708,75.43,75.55,75.37,75.08,73.84,64736,66256,64724,65284,65220
binarize,288,384,288,309,3,2,0,3,2207.78,2221.94,2218.28,2236.45,2180.75,1959776,1955880,1957200,1966056,1958784,201.36,195.47,200.7,197.18,196.79,203232,203124,203256,202672,202244
binarize,288,384,288,309,3,2,1,3,2248.58,2243.49,2298.69,2255.75,2302.75,1956532,1964976,1955952,1966512,1954080,197.54,225.93,196.95,196.88,213.26,203156,202668,203176,203228,202028
binarize,288,384,280,342,10,6,0,9,1941.59,1896.9,1918.9,1939.23,1893.95,1544380,1539664,1541040,1538480,1539112,200.39,198.46,200.94,199.88,201.08,206280,207224,207320,206688,206696
binarize,288,384,280,342,10,6,1,9,1945.7,1948.8,1969.95,1931.78,1949.66,1538072,1542404,1545452,1537800,1537684,201.89,214.41,199.3,200.42,210.36,205432,208252,206712,206708,205124
binarize,288,384,273,290,21,13,0,10,1495.17,1464.86,1446.3,1454.68,1487.03,1219888,1226348,1227372,1221492,1224704,144.81,140.34,142.94,140.74,145.9,132672,132572,133132,132620,133220
binarize,288,384,273,290,21,13,1,10,1476.45,1478.75,1466.32,1471.16,1435.24,1223500,1226564,1225052,1222704,1223708,141.63,145.47,141.5,139.43,140.68,132720,133404,133712,133624,133700
binarize,288,384,273,290,21,13,5,10,1424.09,1421.92,1433.78,1396.29,1455.88,1212856,1209776,1208004,1210944,1208520,143.38,140.62,141.12,144.82,141.24,132684,133172,133184,133704,132632
binarize,288,384,273,290,60,20,0,10,1579.69,1551.4,1560.89,1598.02,1554.92,1277692,1276744,1278864,1279120,1267384,141.95,140.69,142.21,141.65,144.52,133116,132484,133096,132676,131548
binarize,288,384,273,290,60,20,1,10,1561.53,1585.4,1573.51,1550.43,1544.76,1268300,1275940,1269480,1277444,1275468,147.6,141.74,140.35,142.49,140.29,132136,133100,133752,133208,132636
